五十音,曲名,アーティスト名,ジャンル,楽曲使用
ソ,創聖のアクエリオン,AKINO,アニメソング,創聖のアクエリオン
タ,Time goes by,Every Little Thing,,
タ,タイヨウのうた,KaoruAmane(沢尻エリカ),,
タ,タキシード・ミラージュ,"三石琴乃,富沢美智恵,久川綾,篠原恵美,深見梨加",アニメソング,美少女戦士セーラームーン
タ,ただ君に晴れ,ヨルシカ,,
タ,タッチ,岩崎良美,アニメソング,タッチ
タ,たばこ,コレサワ,,
タ,たぶん,YOASOBI,,
タ,高鳴る,藤田麻衣子,アニメソング,緋色の欠片
タ,魂のルフラン,高橋洋子,アニメソング,新世紀エヴァンゲリオン
タ,対象a,anNina,アニメソング,ひぐらしのなく頃に
タ,大正浪漫,YOASOBI,,
タ,旅立ちの日に,合唱曲,,
ダ,Dancing in the Moonlight,ワルキューレ,アニメソング.マクロス,マクロスΔ
ダ,Dancing stars on me!,μ's,アニメソング,ラブライブ！
ダ,DANZEN!ふたりはプリキュア(Ver.Max Heart),五條真由美,アニメソング,ふたりはプリキュアMaxHeart
ダ,Diamonds,PRINCESS PRINCESS,,
ダ,ダイアモンド クレバス,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
ダ,だから僕は音楽を辞めた,ヨルシカ,,
ダ,ダダダダ天使,ナナヲアカリ,,
ダ,ダンシング・ヒーロー,荻野目洋子,,
ダ,ダーリンダンス,かいりきベア,ボカロ,
ダ,大好きだよ。,大塚愛,,
チ,CHE.R.RY,yui,,
チ,CHU-LIP,大塚愛,,
チ,チェリー,スピッツ,,
チ,チカっとチカ千花っ♡,藤原千花(小原好美),アニメソング,かぐや様は告らせたい
チ,チキチキバンバン,QUEENDOM,アニメソング,パリピ孔明
チ,チュッ! 夏パーティ,三人祭,,
チ,地球最後の告白を,kemu,ボカロ,
チ,地上の星,中島みゆき,,
ツ,つけまつける,きゃりーぱみゅぱみゅ,,
ツ,つらみ現在進行形,ワルキューレ,アニメソング.マクロス,マクロスΔ
ツ,月のワルツ,諫山実生,,
ツ,津軽海峡・冬景色,石川さゆり,,
ツ,翼,藍井エイル,アニメソング,アルスラーン戦記 風塵乱舞
ツ,蕾,コブクロ,,
テ,tears,大塚愛,,
テ,手紙～愛するあなたへ～,藤田麻衣子,,
テ,手紙～拝啓 十五の君へ～,アンジェラ・アキ,,
テ,天使にふれたよ！,放課後ティータイム,アニメソング,けいおん!
デ,Daydream cafe,Petit Rabbit's,アニメソング,ご注文はうさぎですか？
デ,Dear,19's Sound Factory,ボカロ,
デ,DEAR…again,広瀬香美,,
デ,Dearest,浜崎あゆみ,アニメソング,犬夜叉
デ,Departures ~あなたにおくるアイの歌~,EGOIST,アニメソング,ギルティクラウン
デ,DISCOTHEQUE,水樹奈々,アニメソング,ロザリオとバンパイア
デ,Diva in Abyss,Yami_Q_ray,アニメソング.マクロス,マクロスΔ
デ,出逢った頃のように,Every Little Thing,,
ト,to you.,苺咲べりぃ,,
ト,TOMORROW,岡本真夜,,
ト,Trancing Pulse,Triad Primus,アニメソング,アイドルマスター
ト,trick and treat,OSTER project,ボカロ,
ト,ときめきブローカー,P丸様。,ボカロ,
ト,となりのトトロ,井上あずみ,アニメソング,となりのトトロ
ト,トライアングラー,坂本真綾,アニメソング.マクロス,マクロスF
ト,トリセツ,西野カナ,,
ト,トリノコシティ,40mP,ボカロ,
ト,年下の男の子,キャンディーズ,,
ト,時の流れに身をまかせ,テレサ・テン,,
ド,Dokkin♢魔法つかいプリキュア!,北川理恵,アニメソング,魔法つかいプリキュア!
ド,"Don't say ""lazy""",放課後ティータイム,アニメソング,けいおん!
ド,Dream × Dream,愛内里菜,アニメソング,名探偵コナン
ド,ドライフラワー,優里,,
ド,ドラえもんのうた,山野さと子,アニメソング,ドラえもん
ド,ドリームパレード,I☆Ris,アニメソング,プリパラ
ド,ドレミファロンド,40mP,ボカロ,
ド,同担☆拒否,HoneyWorks,,
ナ,なくもんか,いきものがかり,,
ナ,なごり雪,イルカ,,
ナ,なのです☆,堀江由衣,,ひぐらしのなく頃に解 キャラクターソング
ナ,ナージャ!!,本田美奈子,アニメソング,明日のナージャ
ナ,夏の扉,松田聖子,,
ナ,夏空グラフィティ,いきものがかり,,
ナ,夏祭り,whiteberry,,
ナ,"夏色えがおで1,2,Jump!",μ's,,ラブライブ！
ナ,夏恋花火,40mP,ボカロ,
ナ,渚のシンドバッド,ピンク・レディー,,
ナ,長い間,Kiroro,,
ナ,奈落の花,島みやえい子,アニメソング,ひぐらしのなく頃に
ナ,謎,小松未歩,アニメソング,名探偵コナン
ナ,名前のない怪物,EGOIST,アニメソング,PSYCHO-PASS
ナ,涙そうそう,夏川りみ,,
ナ,涙目爆発音,ワルキューレ,アニメソング.マクロス,マクロスΔ
ニ,NewWorld!!,苺咲べりぃ,,
ニ,ニア,夏代孝明,ボカロ,
ニ,にじいろ,絢香,,
ニ,ニッポン笑顔百景,桃黒亭一門,アニメソング,じょしらく
ニ,ニュームーンに恋して,ももいろクローバーZ,アニメソング,美少女戦士セーラームーン
ニ,にんげんっていいな,"中嶋義実,ヤングフレッシュ",アニメソング,まんが日本昔ばなし
ニ,ニンジーン Loves you yeah !,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ニ,二息歩行,DECO*27,ボカロ,
ニ,虹,菅田将暉,アニメソング,ドラえもん
ニ,虹いろ・クマクマ,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ニ,虹が架かるまでの話,堀江由衣,アニメソング,先輩がうざい後輩の話
ネ,ね～え?,松浦亜弥,,
ネ,ねぇ,藤田麻衣子,アニメソング,緋色の欠片
ネ,ネコに風船,大塚愛,,
ネ,ねこ日記,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ネ,猫,DISH//,,
ネ,熱情のスペクトラム,いきものがかり,アニメソング,七つの大罪
ノ,ノスタルジア,いきものがかり,,映画 時をかける少女(2010) 実写版
ノ,ノーザンクロス,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
ノ,ノーポイッ！,Petit Rabbit's,アニメソング,ご注文はうさぎですか??
ハ,#好きなんだ,AKB48,,
ハ,HANABI,いきものがかり,アニメソング,BLEACH
ハ,HANABI,Mr.Children,,
ハ,Happiness,嵐,,
ハ,HAPPY BIRTHDAY,back number,,
ハ,Happy Days,大塚愛,,
ハ,Happy Girl,喜多村英梨,アニメソング,パパのいうことを聞きなさい!
ハ,Happy Halloween,Junky,ボカロ,
ハ,Happy Lucky Strawberry,苺咲べりぃ,,
ハ,"Hello,星を数えて","星空凛(飯田里穂),西木野真姫(Pile),小泉花陽(久保ユリカ)",アニメソング,ラブライブ！
ハ,Honey,chihiRo,アニメソング,カードキャプターさくら
ハ,Honey♥Come!!,小倉 唯,アニメソング,城下町のダンデライオン
ハ,はじめてのチュウ,あんしんパパ,アニメソング,キテレツ大百科
ハ,ハッピー・ジャムジャム,M・S・J,アニメソング,しましまとらのしまじろう
ハ,ハッピーサマーウェディング,モーニング娘。,,
ハ,ハッピーシンセサイザ,Easy Pop,ボカロ,
ハ,ハナミズキ,一青窈,,
ハ,ハム太郎とっとこうた,ハムちゃんず,アニメソング,とっとこハム太郎
ハ,ハルウタ,いきものがかり,アニメソング,名探偵コナン
ハ,ハルジオン,YOASOBI,,
ハ,ハルノヒ,あいみょん,アニメソング,クレヨンしんちゃん
ハ,ハルモニア,RYTHEM,アニメソング,NARUTO
ハ,ハレ晴レユカイ,"涼宮ハルヒ(平野綾),長門有希(茅原実里),朝比奈みくる(後藤邑子)",アニメソング,涼宮ハルヒの憂鬱
ハ,ハロ/ハワユ,ほえほえP,ボカロ,
ハ,花に赤い糸,瀬戸口雛(麻倉もも),アニメソング,好きになるその瞬間を。～告白実行委員会～
ハ,花に亡霊,ヨルシカ,アニメソング,泣きたい私は猫をかぶる
ハ,花は桜 君は美し,いきものがかり,,
ハ,花ハ踊レヤいろはにほ,"チーム""ハナヤマタ""",アニメソング,ハナヤマタ
ハ,春、青く澄みわたり,苺咲べりぃ,,
ハ,春一番,キャンディーズ,,
ハ,春擬き,やなぎなぎ,アニメソング,やはり俺の青春ラブコメはまちがっている。
ハ,春泥棒,ヨルシカ,,
ハ,初めての恋が終わる時,ryo,ボカロ,
ハ,初恋,奥華子,,
ハ,初恋サイダー,Buono!,,
ハ,破滅の純情,ワルキューレ,アニメソング.マクロス,マクロスΔ
ハ,白日,King Gnu,,
バ,バラライカ,月島きらり(久住小春),アニメソング,きらりんレボリューション
バ,バレンタイン・キッス,渡り廊下走り隊7,,
パ,PUNCH☆MIND☆HAPPINESS,Happy Clover,アニメソング,あんハピ♪
ヒ,115万キロのフィルム,Official髭男dism,,
ヒ,Here,JUNNA,アニメソング,魔法使いの嫁
ヒ,ひぐらしのなく頃に,島みやえい子,アニメソング,ひぐらしのなく頃に
ヒ,ヒッチコック,ヨルシカ,,
ヒ,ヒトリゴト,ClariS,アニメソング,エロマンガ先生
ヒ,ひまわりの約束,秦基博,アニメソング,ドラえもん
ヒ,ヒロイン育成計画,HoneyWorks,,
ヒ,光るなら,Goose house,アニメソング,四月は君の嘘
ヒ,瞳はダイアモンド,松田聖子,,
ヒ,瞳をとじて,平井堅,,
ヒ,秘密の扉から会いにきて,田村ゆかり,アニメソング,のうりん
ビ,Believe,Folder5,アニメソング,ONE PIECE
ビ,ビリーヴ,シェネル,,映画 BRAVE HEARTS 海猿
ビ,ビードロ模様,やなぎなぎ,アニメソング,あの夏で待ってる
ビ,ビー玉,大塚愛,,
ピ,PEACH,大塚愛,,
ピ,PIECE OF MY WISH,今井美樹,,
ピ,ピエロ,KEI,ボカロ,
ピ,ぴゅあぴゅあはーと,放課後ティータイム,アニメソング,けいおん!
フ,Fantastic future,田村ゆかり,アニメソング,変態王子と笑わない猫。
フ,FEELING AROUND,鈴木みのり,アニメソング,ラーメン大好き小泉さん
フ,First Love,宇多田ヒカル,,ドラマ 魔女の条件
フ,Flavor Of Life,宇多田ヒカル,,
フ,fragile,Every Little Thing,,
フ,From Y to Y,ジミーサムP,ボカロ,
フ,ふ・れ・ん・ど・し・た・い,学園生活部,アニメソング,がっこうぐらし!
フ,ファンサ,mona(夏川椎菜),,
フ,フォニイ,ツミキ,ボカロ,
フ,ふたり,いきものがかり,,
フ,フリージア,Uru,アニメソング,機動戦士ガンダム
フ,ブルーバード,いきものがかり,アニメソング,NARUTO
フ,フレンジャー,大塚愛,,
フ,フレンズ,レベッカ,,
フ,ふわふわ時間,放課後ティータイム,アニメソング,けいおん！
フ,冬がくれた予感,BiBi,,ラブライブ！
フ,冬がはじまるよ,槇原敬之,,
フ,冬のうた,Kiroro,,
フ,冬花火,奥華子,,
フ,不確定性☆COSMIC MOVEMENT,ワルキューレ,アニメソング.マクロス,マクロスΔ
ブ,Booo!,TOKOTOKO(西沢さんP),ボカロ,
ブ,ブライトファンタジー,i☆Ris,アニメソング,プリパラ
プ,Precious,伊藤由奈,,
プ,Pretender,Official髭男dism,,
プ,promise,広瀬香美,,
プ,プラチナ,坂本真綾,アニメソング,カードキャプターさくら
プ,プラネタリウム,いきものがかり,,
プ,プラネタリウム,大塚愛,,
プ,プロローグ,Uru,,
プ,白金ディスコ,阿良々木月火(井口裕香),アニメソング,偽物語
ヘ,heavenly days,新垣 結衣,,
ヘ,ヘビーローテーション,AKB48,,
ベ,Baby Sweet Berry Love,小倉 唯,アニメソング,変態王子と笑わない猫。
ベ,Best Friend,Kiroro,,ドラマ ちゅらさん
ベ,ベテルギウス,優里,,
ベ,ベノム,かいりきベア,ボカロ,
ベ,別の人の彼女になったよ,wacci,,
ペ,ペッパー警部,ピンク・レディー,,
ホ,HOT LIMIT,T.M.Revolution,,
ホ,White Love,SPEED,,
ホ,ホウキ雲,RYTHEM,アニメソング,焼きたて!!ジャぱん
ホ,ホシキラ,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ホ,ホタルノヒカリ,いきものがかり,アニメソング,NARUTO
ホ,炎,LiSA,アニメソング,鬼滅の刃
ホ,放課後オーバーフロウ,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ボ,BON VOYAGE!,Bon-Bon Blanco,アニメソング,ONE PIECE
ボ,Voyage,浜崎あゆみ,,
ボ,ボクノート,スキマスイッチ,アニメソング,ドラえもん
ボ,ぼくはくま,宇多田ヒカル,,
ボ,ぼなぺてぃーと♡S,ブレンド・A,アニメソング,ブレンド・S
ボ,僕たちはひとつの光,μ's,アニメソング,ラブライブ！
ボ,僕らのLIVE 君とのLIFE,μ's,アニメソング,ラブライブ！
ボ,僕らの戦場,ワルキューレ,アニメソング.マクロス,マクロスΔ
ボ,僕らは今のなかで,μ's,アニメソング,ラブライブ!
ポ,ポケット,大塚愛,,
ポ,ポジティブ☆ダンスタイム,キノシタ,ボカロ,
ポ,ポニーテールとシュシュ,AKB48,,
マ,M＠GIC☆,CINDERELLA PROJECT,アニメソング,アイドルマスター
マ,MAGIC,愛内里菜,アニメソング,名探偵コナン
マ,magnet,minato(流星P),ボカロ,
マ,Mermaid festa vol.2~Passionate~,"高坂穂乃果(新田恵海),星空凛(飯田里穂)",,ラブライブ！
マ,マジLOVE1000%,ST☆RISH,アニメソング,うたの☆プリンスさまっ♪
マ,マジックナンバー,坂本真綾,アニメソング,こばと。
マ,またあえる日まで,ゆず,アニメソング,ドラえもん
マ,マダマニア,ワルキューレ,マクロス,マクロスΔ
マ,また君に恋してる,坂本冬美,,
マ,マトリョシカ,ハチ,ボカロ,
マ,まどろみの約束,"千反田える(佐藤聡美),伊原摩耶花(茅野愛衣)",アニメソング,氷菓
マ,マリーゴールド,あいみょん,,
マ,真冬の帰り道,広瀬香美,,
マ,待つわ,あみん,,
マ,負けないで,ZARD,,
マ,舞風,吉岡亜衣加,アニメソング,薄桜鬼
マ,魔法戦隊マジレンジャー,岩崎貴文,,魔法戦隊マジレンジャー
マ,万華鏡キラキラ,RYTHEM,,ドラマ 光とともに…～自閉症児を抱えて～
ミ,milk,aiko,,
ミ,Missing Promise,鈴木このみ,アニメソング,ひぐらしのなく頃に
ミ,Mrs.Pumpkinの滑稽な夢,ハチ,ボカロ,
ミ,ミックスナッツ,Official髭男dism,アニメソング,SPY×FAMILY
ミ,みんな空の下,絢香,,
ミ,三日月,絢香,,
ミ,未来,コブクロ,アニメソング,orange
ミ,未来はオンナのためにある,ワルキューレ,アニメソング.マクロス,マクロスΔ
ミ,未来へ,Kiroro,,
ミ,未来予想図Ⅱ,DREAMS COME TRUE,,
ム,MOON PRIDE,ももいろクローバーZ,アニメソング,美少女戦士セーラームーン
ム,ムーンライト伝説,DALI,アニメソング,美少女戦士セーラームーン
ム,結ンデ開イテ羅刹ト骸,ハチ,ボカロ,
ム,無限大DRIVE,ワルキューレ,マクロス,マクロスΔ
メ,Make debut!,スピカ,アニメソング,ウマ娘 プリティーダービー
メ,Make it!,i☆Ris,アニメソング,プリパラ
メ,めざせポケモンマスター,松本梨香,アニメソング,ポケットモンスター
メ,メランコリック,Junky,ボカロ,
メ,メリクリ,BoA,,
メ,メルト,ryo,ボカロ,
メ,メンヘラじゃないもん！,勇魚,ボカロ,
モ,もう少し,Kiroro,,
モ,もう少しだけ,YOASOBI,,
モ,もう恋なんてしない,槇原敬之,,
モ,モザイクロール,DECO*27,ボカロ,
モ,もしも運命の人がいるのなら,西野カナ,,
モ,もののけ姫,米良美一,アニメソング,もののけ姫
モ,桃色片想い,松浦亜弥,,
ヤ,やさしいキスをして,DREAMS COME TRUE,,
ヤ,やさしさで溢れるように,JUJU,,
ヤ,優しい彗星,YOASOBI,アニメソング,BEASTARS
ユ,U&I,放課後ティータイム,アニメソング,けいおん!
ユ,UFO,ピンク・レディー,,
ユ,you,癒月,アニメソング,ひぐらしのなく頃に
ユ,YUME日和,島谷ひとみ,アニメソング,ドラえもん
ユ,ユニバーページ,三森すずこ,アニメソング,アウトブレイク・カンパニー
ユ,ユメクイ,大塚愛,,
ユ,ユメセカイ,戸松遥,アニメソング,ソードアート・オンライン
ユ,ユメノトビラ,μ's,アニメソング,ラブライブ！
ユ,往け,LiSA,アニメソング,ソードアート・オンライン
ユ,雪だるま作ろう,"稲葉菜月,神田沙也加,諸星すみれ",アニメソング,アナと雪の女王
ユ,雪の華,中島美嘉,,
ユ,夢をかなえてドラえもん,mao,アニメソング,ドラえもん
ユ,夢路らびりんす,らびりんず,アニメソング,うらら迷路帖
ユ,勇気100%,光GENJI,アニメソング,忍たま乱太郎
ユ,夕景イエスタデイ,じん,ボカロ,
ユ,夕日坂,doriko,ボカロ,
ヨ,ようかい体操第一,Dream5,アニメソング,妖怪ウォッチ
ヨ,ようこそジャパリパークへ,どうぶつビスケッツ,アニメソング,けものフレンズ
ヨ,よくばり,Ayase,ボカロ,
ヨ,ヨドバシカメラの歌,CM NETWORK,,
ヨ,吉原ラメント,亜沙,ボカロ,
ヨ,夜に駆ける,YOASOBI,,
ヨ,夜の歌,大道寺知世(岩男潤子),アニメソング,カードキャプターさくら
ヨ,夜もすがら君想ふ,西沢さんP,ボカロ,
ヨ,夜空,鈴木みのり,アニメソング,恋する小惑星（アステロイド）
ヨ,夜空にふたつ,koyori(電ポルP),ボカロ,
ラ,LIFE,中島美嘉,,
ラ,Love marginal,Printemps,,ラブライブ！
ラ,Love So Sweet,嵐,,
ラ,Love Song,Uru,,
ラ,LOVE マシーン,モーニング娘。,,
ラ,LOVE! THUNDER GLOW,ワルキューレ,アニメソング.マクロス,マクロスΔ
ラ,Rising Hope,LiSA,アニメソング,魔法科高校の劣等生
ラ,RUN! RUN! RUN!,大槻マキ,アニメソング,ONE PIECE
ラ,ラ♪ラ♪ラ♪スイートプリキュア♪,工藤真由,,スイートプリキュア
ラ,ライアーダンス,DECO*27,ボカロ,
ラ,ライオン,"シェリル・ノーム(May'n),ランカ・リー(中島愛)",アニメソング.マクロス,マクロスF
ラ,ラストシーン,いきものがかり,,
ラ,らぶこーる,中川かのん,アニメソング,神のみぞ知るセカイ
ラ,ラムのラブソング,松谷祐子,アニメソング,うる星やつら
リ,Ring Ring Rainbow!!,"ゆいかおり(小倉唯,石原夏織)",アニメソング,城下町のダンデライオン
リ,リリリリ★バーニングナイト,samfree,ボカロ,
リ,流星,藍井エイル,アニメソング,ソードアート・オンライン
ル,ルカルカ★ナイトフィーバー,samfree,ボカロ,
ル,ルミナス,ClariS,アニメソング,魔法少女まどか☆マギカ
ル,ルンがピカッと光ったら,ワルキューレ,アニメソング.マクロス,マクロスΔ
ル,ルンに花咲く恋もある,ワルキューレ,アニメソング.マクロス,マクロスΔ
ル,ルートスフィア,Last Note.,ボカロ,
ル,ループ,坂本真綾,アニメソング,ツバサ・クロニクル
ル,瑠璃色の地球,松田聖子,,
レ,Lemon,米津玄師,,
レ,Let It Go~ありのままで~,松たか子,アニメソング,アナと雪の女王
レ,Let's go!スマイルプリキュア!,池田彩,アニメソング,スマイルプリキュア!
レ,letter song,doriko,ボカロ,
レ,"rain stops, good-bye",におP,ボカロ,
レ,Rainbow Notes♪,神戸みゆきの,アニメソング,マーメイドメロディーぴちぴちピッチ
レ,READY!!,765PRO ALLSTARS,アニメソング,アイドルマスター
レ,恋愛サーキュレーション,千石撫子(花澤香菜),アニメソング,化物語
レ,恋愛レボリューション21,モーニング娘。,,
レ,恋愛裁判,40mP,ボカロ,
レ,恋愛写真,大塚愛,,
ロ,ロキ,みきとP,ボカロ,
ロ,ロケットビート,安野希世乃,アニメソング,カードキャプターさくら
ロ,ロマンスの神様,広瀬香美,,
ロ,ロミオとシンデレラ,doriko,ボカロ,
ロ,炉心融解,iroha,ボカロ,
ワ,1 2 3 ～恋がはじまる～,いきものがかり,,
ワ,One Love,嵐,,
ワ,WINDING ROAD,"コブクロ,絢香",,
ワ,Wonderful Rush,μ's,,ラブライブ!
ワ,ワルキューレがとまらない,ワルキューレ,アニメソング.マクロス,マクロスΔ
ワ,ワルキューレのバースデイソング,ワルキューレ,アニメソング.マクロス,マクロスΔ
ワ,ワルキューレはあきらめない,ワルキューレ,アニメソング.マクロス,マクロスΔ
ワ,ワルキューレは裏切らない,ワルキューレ,アニメソング.マクロス,マクロスΔ
ワ,ワールドイズマイン,ryo,ボカロ,
ワ,私、アイドル宣言,CHiCO,,
ワ,私たちになりたくて,藤谷美和子,アニメソング,美少女戦士セーラームーン
ワ,私の彼はパイロット -MISS MACROSS 2059-,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ワ,渡月橋 ～君 想ふ～,倉木麻衣,アニメソング,名探偵コナン
ワ,私、アイドル宣言,CHiCO,,
ワ,私たちになりたくて,藤谷美和子,アニメソング,美少女戦士セーラームーン
ワ,私の彼はパイロット -MISS MACROSS 2059-,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ワ,渡月橋 ～君 想ふ～,倉木麻衣,アニメソング,名探偵コナン